                                                                                                                       
{'loss': 79.2642, 'grad_norm': 3.5627942085266113, 'learning_rate': 0.0005984376425285179, 'epoch': 11.97}
{'loss': 40.337, 'grad_norm': 2.6286115646362305, 'learning_rate': 0.0005983152647777441, 'epoch': 12.0}
{'loss': 77.3275, 'grad_norm': 3.561383008956909, 'learning_rate': 0.0005981882866365539, 'epoch': 12.05}
{'loss': 77.4682, 'grad_norm': 3.5849177837371826, 'learning_rate': 0.0005980567100631073, 'epoch': 12.11}
{'loss': 78.0045, 'grad_norm': 3.6234235763549805, 'learning_rate': 0.0005979205370864779, 'epoch': 12.16}
{'loss': 77.7483, 'grad_norm': 3.5564684867858887, 'learning_rate': 0.0005977797698066213, 'epoch': 12.22}
{'loss': 77.3951, 'grad_norm': 3.7174220085144043, 'learning_rate': 0.0005976344103943434, 'epoch': 12.27}
{'loss': 78.1247, 'grad_norm': 3.522387981414795, 'learning_rate': 0.0005974844610912657, 'epoch': 12.32}
{'loss': 77.5006, 'grad_norm': 3.26005220413208, 'learning_rate': 0.0005973299242097924, 'epoch': 12.38}
{'loss': 78.0602, 'grad_norm': 3.729203939437866, 'learning_rate': 0.0005971708021330731, 'epoch': 12.43}
{'loss': 77.3937, 'grad_norm': 3.489990711212158, 'learning_rate': 0.0005970070973149672, 'epoch': 12.49}
{'loss': 79.2536, 'grad_norm': 3.5330166816711426, 'learning_rate': 0.0005968388122800054, 'epoch': 12.54}
{'loss': 78.38, 'grad_norm': 3.3801755905151367, 'learning_rate': 0.0005966659496233513, 'epoch': 12.59}
{'loss': 78.5888, 'grad_norm': 3.8392648696899414, 'learning_rate': 0.0005964885120107607, 'epoch': 12.65}
{'loss': 79.2045, 'grad_norm': 3.4730710983276367, 'learning_rate': 0.0005963065021785413, 'epoch': 12.7}
{'loss': 79.1084, 'grad_norm': 3.4631383419036865, 'learning_rate': 0.0005961199229335096, 'epoch': 12.76}
